price_id,community_id,trans_date,street,road,shift_floor,room,bath_room,building_area,attach_area,month,trans_month,price
4158617,17120,20/2/2020,0,1,13,3,2,27.2704,3.6845,1,A,112175.2873
4189322,17120,22/3/2020,0,1,7,3,2,23.7644,5.8988,1,A,140784.3448
4198554,17120,9/4/2020,0,1,5,3,2,22.9265,4.2653,2,B,125626.4178
4216465,17120,18/4/2020,0,1,30,5,3,41.9265,4.3076,2,B,98857.2106
4225729,17120,30/4/2020,0,1,17,3,2,23.0112,3.4273,2,B,118690.3089
4226084,17120,6/5/2020,0,1,17,3,2,27.2704,3.6845,2,B,112899.0802
4226091,17120,26/3/2020,0,1,25,3,2,23.0112,3.4273,1,A,124520.3366
4226126,17120,7/5/2020,0,1,19,3,2,27.2704,5.9562,2,B,149996.7606
4228879,17120,16/1/2020,0,1,12,3,1,23.7644,5.8988,1,A,137568.0053
4229129,17120,24/2/2020,0,1,11,3,2,27.2704,3.6845,1,A,96766.819
4236762,17120,10/5/2020,0,1,23,3,2,23.7644,5.8988,2,B,111316.4351
4237029,17120,11/5/2020,0,1,16,3,2,27.2704,3.6845,2,B,136014.2937
4248834,17120,14/5/2020,0,1,10,3,1,18.0593,4.1473,2,B,114646.1317
4303716,17120,14/6/2020,0,1,15,3,2,22.9265,4.6948,2,B,115117.3786
4303933,17120,21/7/2020,0,1,27,3,2,27.5124,3.7117,3,C,113400.4743
4307539,17120,27/7/2020,0,1,6,3,2,22.9265,7.0362,3,C,136897.4929
4307547,17120,25/7/2020,0,1,9,2,1,18.0593,4.1473,3,C,108962.7101
4319537,17120,14/8/2020,0,1,9,3,2,22.9265,4.6948,3,C,123340.0485
4322410,17120,18/8/2020,0,1,14,3,2,23.7644,5.8988,3,C,123807.7897
4322414,17120,13/8/2020,0,1,25,2,2,27.2704,3.6845,3,C,104813.8822
4322848,17120,4/8/2020,0,1,25,3,2,23.7644,5.8988,3,C,124589.8916
4357101,17120,25/5/2020,0,1,24,3,2,23.9489,4.6041,2,B,110769.1975
4357354,17120,3/6/2020,0,1,11,3,2,23.7644,5.8988,2,B,114880.2589
4357630,17120,9/5/2020,0,1,5,3,2,23.0112,2.9978,2,B,124025.307
4358334,17120,23/6/2020,0,1,26,4,3,40.6409,9.0054,2,B,154411.4089
4360417,17120,10/8/2020,0,1,28,3,2,23.0112,2.9978,3,C,119121.2682
4360431,17120,31/8/2020,0,1,6,3,2,27.2704,3.6845,3,C,111579.8351
4360821,17120,1/9/2020,0,1,4,2,1,18.0593,4.1473,3,C,114705.6983
4360954,17120,1/8/2020,0,1,14,3,2,23.7644,5.8988,3,C,121862.7128
4367766,17120,17/9/2020,0,1,32,3,2,27.5124,3.7117,3,C,143200.4831
4367768,17120,25/9/2020,0,1,8,3,2,23.9489,4.6041,3,C,135084.3872
4368026,17120,19/9/2020,0,1,9,2,1,18.0593,4.1473,3,C,108962.7101
4372309,17120,1/10/2020,0,1,18,3,2,22.9265,6.8093,4,D,173009.6198
